juv,mum,sex,age,m.rank.sp,j.p.gg,j.p.rc,j.p.pl,p.gg.j,p.rc.j,p.pl.j,fy.m.p.gg_not_juv,fy.m.p.rc_not_juv,fy.p.gg.af,fy.p.rc.af,fy.mj.gg,fy.mj.rc,mj.gg_avg_lifetime,p.gg.af_avg_lifetime,m.p.rc_not_juv_avg_lifetime
allo,ambe,M,2.648870636550308,0.636,0.00202757502027575,0.025952960259529603,0.056366585563665854,0.00202757502027575,0.022303325223033254,0.05555555555555555,0.08833333333333333,0.11708333333333333,0.06,0.06520833333333333,0.015,0.24875,0.01910541586073501,0.05248549323017408,0.08828054480980013
amos,ambe,M,5.790554414784394,0.636,0.022067838169186758,0.025337147527584796,0.03923171230077646,0.014711892112791173,0.020841847159787496,0.032693093583980384,0.06493222562308701,0.07542632269348491,0.040664626147791864,0.031919545255793616,0.022737210319195452,0.2245299519020551,0.018384481525270883,0.040583265677249215,0.10763814987998642
atom,arte,F,6.773442847364819,0.556,0.06782334384858044,0.07373817034700315,0.00473186119873817,0.010646687697160883,0.02641955835962145,0.00473186119873817,0.042366691015339665,0.045836376917458,0.02410518626734843,0.02027027027027027,0.009495982468955442,0.18864134404674945,0.017543639386845014,0.015861418088177506,0.057755330862805064
bike,bif,M,6.685831622176591,0.261,0.016894609814963796,0.02172164119066774,0.01850362027353178,0.012872083668543845,0.016492357200321803,0.01850362027353178,0.03446947814365492,0.035239745811669554,0.02079722703639515,0.012709416522241479,0.019064124783362217,0.23242826882341613,0.026943324580762335,0.04556593016921988,0.11288827322144655
blas,blaz,M,3.835728952772074,0.13,0.012754085292945397,0.02431247508967716,0.05061777600637704,0.012754085292945397,0.02072538860103627,0.046632124352331605,0.10139335476956056,0.05101822079314041,0.017363344051446947,0.012433011789924973,0.007931404072883173,0.14833869239013933,0.01210882683670237,0.04073431725801367,0.06963140980844675
bong,bonn,M,2.5694729637234772,0.696,0.006759443339960238,0.030218687872763418,0.03936381709741551,0.002385685884691849,0.02584493041749503,0.03856858846918489,0.07476832350463353,0.06655433866891322,0.05623420387531592,0.041280539174389216,0.017691659646166806,0.18218197135636058,0.03437509507837606,0.06111834726767042,0.055568576557370686
boyd,buai,F,3.6563997262149215,0.217,0.038461538461538464,0.07731157731157731,0.016705516705516704,0.010101010101010102,0.035742035742035744,0.015928515928515928,0.07592237150778418,0.072723395180209,0.053103007037747924,0.04265301770100235,0.009383663894220516,0.20217530390275112,0.019771134734327508,0.04539750656061634,0.08476901867401178
brav,bow,M,2.6872005475701575,0.826,0.010329757647993643,0.03297576479936432,0.04648390941597139,0.00834326579261025,0.028605482717520857,0.04529201430274136,0.09810263044415696,0.07309184993531695,0.055627425614489,0.045278137128072445,0.010564898663216905,0.1884432945235015,0.013173230894734704,0.05424156851866735,0.06773329971715747
brog,bow,F,6.8788501026694044,0.826,0.0508209538702111,0.07193119624706802,0.009773260359655981,0.017982799061767005,0.024628616106333073,0.008991399530883503,0.04542124542124542,0.03901098901098901,0.02912087912087912,0.010439560439560439,0.00641025641025641,0.19029304029304028,0.013715956181243777,0.03929044974806628,0.07730493007383898
burn,blaz,F,6.761122518822724,0.13,0.05653710247349823,0.05261091480172752,0.0035335689045936395,0.02198665096191598,0.015312131919905771,0.0031409501374165686,0.05928493250638453,0.03848960233491427,0.021889821233126595,0.01787668734038672,0.015140459686245895,0.1585187887632251,0.031736678598254825,0.03779915569965291,0.08832170044040479
dais,daff,F,5.772758384668036,0,0.03915301638034359,0.042748701558130243,3.9952057530962844e-4,0.02117459049141031,0.013583699560527367,3.9952057530962844e-4,0.0734739178690344,0.04550499445061043,0.051054384017758046,0.01798002219755827,0.011320754716981131,0.17269700332963375,0.01743793391284239,0.03073812925492391,0.09454919234752238
dame,dixi,F,3.9028062970568103,0.957,0.04694280078895464,0.06272189349112427,0.016173570019723867,0.008678500986193294,0.03905325443786982,0.016173570019723867,0.0621505376344086,0.07526881720430108,0.028172043010752688,0.043440860215053764,0.0070967741935483875,0.14408602150537633,0.018973376439619632,0.042557786112297144,0.06816228779444082
dann,daff,M,2.6967830253251197,0,0.0066518847006651885,0.027346637102734665,0.016260162601626018,0.0066518847006651885,0.022172949002217297,0.016260162601626018,0.07318611987381704,0.06750788643533123,0.024605678233438486,0.026288117770767613,0.008412197686645636,0.21619348054679285,0.01265244669009893,0.028957609518812988,0.05100352684840556
davi,didg,F,2.2340862422997945,1,0.007128712871287129,0.05623762376237624,0.004356435643564357,0.004752475247524752,0.020594059405940595,0.0015841584158415843,0.09311390212213079,0.09462970983109571,0.04049372022520572,0.05088783022953659,0.017756604590731917,0.23191857947163275,0.017756604590731917,0.04049372022520572,0.09462970983109571
dean,desd,M,4.892539356605065,0.211,0.014101531023368252,0.029008863819500404,0.018533440773569703,0.010475423045930701,0.0249798549556809,0.018533440773569703,0.05762782900251467,0.05699916177703269,0.02933780385582565,0.020746018440905283,0.008382229673093043,0.2460184409052808,0.013549315992800893,0.023995571048534323,0.03797699747466406
dext,dj,M,2.6817248459958933,0.579,7.892659826361484e-4,0.03157063930544594,0.020915548539857932,7.892659826361484e-4,0.0244672454617206,0.01617995264404104,0.07961579509071505,0.07940234791889007,0.04781216648879402,0.027321237993596585,0.01344717182497332,0.23991462113127002,0.02181291473914045,0.041047560791475715,0.08496916043940642
